Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Image,Alcohol/Vol,Made In,Sugar Content,Varietal,By,Release Date,Lat,Lon,Savings
 Kim Crawford Rosé,21.95,19.95,5.0,(3),  750 ml bottle ,"Hawke's Bay is one of New Zealand's oldest wine regions and classic Bordeaux varietals do exceptionally well there. This rosé is made from Merlot and Malbec and will offer pink grapefruit, red currant, floral, red plum and candy notes. Perfect for summer salads or grilled seafood.",Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/5/0/3/650325.jpg.thumb.1280.1280.jpg,0.125," Hawke's Bay,   New Zealand ",3 g/L,Rosé,Kim Crawford,"  April 1, 2022  ",-39.52565115,176.7611456576855,2.0
 Josh Cellars Sauvignon Blanc,19.95,17.95,4.7,(15),  750 ml bottle ,"Made from grapes sourced from premium California growing areas. Quite aromatic and bright, with flavours of ripe pear, fresh fig, chamomile and gooseberry with an herbal note. On the palate, this is medium bodied, smooth and balanced with a soft and refreshing finish. Pair with herbed seafood or white meat.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/4/3/1/643114.jpg.thumb.1280.1280.jpg,0.13," California,   United States ",4 g/L,Sauvignon Blanc,Josh Cellars,N/A,36.7014631,-118.755997,2.0
 La Crema Sonoma Coast Chardonnay,31.95,29.95,4.7,(33),  750 ml bottle ,"Cooling ocean breezes and morning fogs have helped the Sonoma Coast become one of the world's premier appellations for Chardonnay. This one is ripe and generous with notes of shortbread, vanilla, ripe pear with toast and nutty elements. Perfect for grilled pork chops or roast chicken.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/9/6/2/8/962886.jpg.thumb.1280.1280.jpg,0.135," California,   United States ",2 g/L,Chardonnay,La Crema,"  April 1, 2021  ",36.7014631,-118.755997,2.0
 Deakin Estate Sauvignon Blanc,11.15,9.15,4.0,(2),  750 ml bottle ,"Pale yellow in colour with aromas bread dough, floral lift and grapefruit; the palate is medium-bodied with moderate acidity and flavours of lees, grapefruit, mint and honey followed by a clean finish.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/4/4/7/0/447060.jpg.thumb.1280.1280.jpg,0.115,  Australia ,4 g/L,Sauvignon Blanc,Deakin Estate,N/A,-24.7761086,134.755,2.0
 Kilikanoon Killerman's Run Shiraz,19.95,17.95,4.8,(8),  750 ml bottle ,"This Shiraz is Kilikanoon's idea of an entry-level wine. Some introduction! A hedonistic pleasure, it's plush with apricot and black plum jam, floral lift and mixed berries fruit. A bold match for barbecued spareribs, spicy sausage pizza or grilled hanger steaks.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/9/2/5/4/925453.jpg.thumb.1280.1280.jpg,0.145," South Australia,   Australia ",4 g/L,Shiraz/Syrah,Kilikanoon,"  April 1, 2022  ",-30.5343665,135.6301212,2.0
 Two Oceans Sauvignon Blanc,23.00,20.00,4.5,(10),  1500 ml bottle ,"Pale straw colour; quince, citrus, minerally and yeasty aromas; extra dry, medium bodied, easy drinking with soft lingering quince and citrus flavours.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/4/1/3/0/413070.jpg.thumb.1280.1280.jpg,0.12," Western Cape,   South Africa ",6 g/L,Sauvignon Blanc,Two Oceans,N/A,-33.546977,20.72753,3.0
 Belle Glos Clark & Telephone Pinot Noir 2019,59.95,54.95,4.3,(3),  750 ml bottle ,"The 2019 Pinot Noir Clark & Telephone is a potent, heady wine. Black cherry, plum, chocolate, spice and leather give this opulent Pinot tons of fruit intensity and pure volume. Martini clone Pinot lends quite a bit of aromatic complexity to this juicy, flamboyant Pinot. Rose petal, lavender and spice linger. Belle Glos is Joe Wagner's Pinot Noir project. The wines are made from sites throughout California. Readers should expect bold, sumptuous Pinots built on richness and overt fruit. It's a style that works best where sites naturally produce that style of fruit. Drinking window: 2023-2031. Score - 92. (Antonio Galloni, vinous.com, Jan. 2022)",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/5/2/8/652883.jpg.thumb.1280.1280.jpg,0.149," California,   United States ",7 g/L,Pinot Noir,Belle Glos,"  September 10, 2022  ",36.7014631,-118.755997,5.0
 El Abuelo Organic Sauvignon-Verdejo,12.00,11.00,4.5,(4),  750 ml bottle ,"El Abuelo (meaning grandfather) is organically farmed. Pale straw colour shows fresh and intense citrus fruit with lime and tropical aromas. The palate had good length, with a crisp and refreshing finish. Very food-friendly and ready to be enjoyed with grilled fish and chicken or just sipping on its own.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/5/011586.jpg.thumb.1280.1280.jpg,0.125," Almansa,   Spain ",7 g/L,Verdejo Blend,El Abuelo,N/A,38.8682065,-1.0978627,1.0
 Santa Carolina Reserva Sauvignon Blanc,46.05,43.05,3.7,(3),  3000 ml bagnbox ,"Sauvignon blanc continues to grow in popularity - its crisp flavours and versatility at the table have made it Ontario's go-to wine for entertaining. Lightly yeasty, grapefruit and savory aromas followed by those of green apples and herbs; ripe citrus flavours. Serve with grilled fish, seafood pasta or vegetarian dishes.",White Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/2/027279.jpg.thumb.1280.1280.jpg,0.125," Leyda Valley,   Chile ",4 g/L,Sauvignon Blanc,N/A,N/A,-33.74718,-71.515503,3.0
 Two Oceans Light Keeper Blushing Rosé,12.95,10.95,5.0,(5),  750 ml bottle ,N/A,Rose Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/3/1/4/031477.jpg.thumb.1280.1280.jpg,0.095," Western Cape,   South Africa ",10 g/L,Rose Wines,N/A,N/A,-33.546977,20.72753,2.0
 Franzia Cabernet Sauvignon,39.80,36.80,4.0,(2),  3000 ml bagnbox ,"California's Franzia has mastered wine packaging and the 'positive flow' of wine: no oxygen can enter, which preserves freshness. Savour this full-bodied wine for up to six weeks! Enticing aromas of red fruit, jam and vanilla, backed by balanced tannins and a dry finish. Enjoy with burgers served with coleslaw and beans.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/2/7/3/027386.jpg.thumb.1280.1280.jpg,0.125," California,   United States ",9 g/L,Cabernet Sauvignon,N/A,N/A,36.7014631,-118.755997,3.0
 Jacob's Creek Grenache Shiraz,15.95,12.95,5.0,(1),  750 ml bottle ,"A legend in Southeastern Australia, Jacob's Creek, this grenache/shiraz blend offers aromas and flavours of ripe plum, strawberry, cherry, and oak spice. Full-bodied and fruity with a lengthy finish. Discover this wine and pair it with grilled steak alongside seasonal vegetables or mushroom risotto.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/2/5/6/025698.jpg.thumb.1280.1280.jpg,0.14,  Australia ,9 g/L,N/A,Jacob's Creek,N/A,-24.7761086,134.755,3.0
 Masi Costasera Amarone Classico DOC,55.00,51.00,4.8,(12),  750 ml bottle ,"Deep purple ruby colour; rich, ripe, dark fruit aromas and flavours with hints of licorice, toast and chocolate; full-bodied and smooth with a firm, long finish.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/3/1/7/0/317057.jpg.thumb.1280.1280.jpg,0.15," Veneto,   Italy ",8 g/L,Amarone,Masi,N/A,45.6476663,11.8665254,4.0
 Astoria Prosecco,20.05,18.05,5.0,(3),  750 ml bottle ,"Pale straw, light mousse; lifted, floral, yeasty and Asian pear aromas; dry, elegant with pleasant fruit flavours.",White Sparkling Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/9/3/8/593855.jpg.thumb.1280.1280.jpg,0.11,  Italy ,12 g/L,Prosecco,Astoria,N/A,42.6384261,12.674297,2.0
 The Seven Deadly Zins Old Vine Zinfandel,24.95,21.95,4.7,(12),  750 ml bottle ,"Zinfully delicious Cali Zinfandel that features all you're looking for in the state's classic variety. The lifted aromas suggest blackberry preserve, toast and spice cupboard. A rich, fruity wine perfect for steaks or meat-based pasta dishes.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/0/5/9/3/059311.jpg.thumb.1280.1280.jpg,0.15," California,   United States ",7 g/L,Zinfandel,Seven Deadly Zins,"  April 1, 2022  ",36.7014631,-118.755997,3.0
 La Linda Private Selection Old Vines Malbec,16.95,14.95,4.6,(5),  750 ml bottle ,"Renowned for malbec, Bosca is one of Argentina's best-known wineries. La Linda is the pure expression of fruit, a result of 30-year-old vines and judicious use of oak ageing. Deep ruby, with aromas of chocolate, herbs, prune, honey and nuts. The wine is medium-full bodied, with balanced acidity and fine, ripe tannins.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/0/7/4/507442.jpg.thumb.1280.1280.jpg,0.142,  Argentina ,3 g/L,Malbec,La Linda,N/A,-34.9964963,-64.9672817,2.0
 The Wanted Zin Old Vines Zinfandel IGT,18.00,15.00,4.5,(14),  750 ml bottle ,"You'll want this Italian zinfandel in your collection. Deep ruby with a garnet rim. Upfront aromas of prune, toasty oak, chocolate, and honey. It's full-bodied and fruity with a juicy mid-palate filled with flavours of dried fruit, toast, chocolate and spice, fine tannins, and a lingering finish. Try with ribs or burgers.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/4/1/6/4/416487.jpg.thumb.1280.1280.jpg,0.14," Puglia,   Italy ",14 g/L,Primitivo,The Wanted,N/A,45.0731467,9.6455027,3.0
 Josh Cellars Merlot,19.95,17.95,4.5,(24),  750 ml bottle ,"Joseph Carr Winery makes a tier of wines named after his affable father Josh. Josh Merlot, in turn, is inviting and full of character. With aromas and flavours of dark fruit, cedar and spice, a velvety texture, and fine tannins on the finish, this red will complement lamb, meat-based pasta or soft cheeses. Cheers Josh!",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/6/3/8/2/638221.jpg.thumb.1280.1280.jpg,0.135," California,   United States ",4 g/L,Merlot,Josh Cellars,N/A,36.7014631,-118.755997,2.0
 Argento Estate Organic Malbec,14.05,12.05,5.0,(1),  750 ml bottle ,"Bright ruby red colour; toasted oak, nuts, sweet plum compote and honey aromas with hints of violets and herbs; dry, medium bodied, with balanced medium acidity and silky tannins supporting flavours of roasted nuts and ripe black fruits.",Red Wine,https://aem.lcbo.com/content/dam/lcbo/products/5/9/1/6/591693.jpg.thumb.1280.1280.jpg,0.14,  Argentina ,7 g/L,Malbec,Argento,N/A,-34.9964963,-64.9672817,2.0
